"cardSecondary__media src","cardSecondary__media-count","updated-date 2","price__tag","price","cardSecondary__info-wrapper_detail-basic-content href","cardSecondary__info-wrapper_detail-basic-content","cardSecondary__info-wrapper_detail-basic-content 2","left","left 2","right","right 3","cardSecondary__info-agent href","avatar src","Svg href 5","agent-detail_name","agent-detail_name 2","text","text 2"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F85e2ec39-af11-442e-a7d2-742fbdf155c5%2F2024-07-06-02-34-30-6044c38d-023e-4bb1-aac9-3ae5aaba1a90.jpg&w=1920&q=75","2","06/07/2024","Rp5,3 Miliar","Cicilan Mulai Rp.27,9 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-5mily-kelapa-gading-1007005280","Rumah Taman Pegangsaan Indah Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara","3","2","144 m²","360 m²","https://www.99.co/id/agent/specialistkg99","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F85e2ec39-af11-442e-a7d2-742fbdf155c5%2F2023-11-22-03-40-30-49080394-06d2-4d76-b862-909da1046d0d.jpg&w=256&q=75","[object Object]","propertyspecialist.id","Agen","+62813...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F85e2ec39-af11-442e-a7d2-742fbdf155c5%2F2024-07-06-02-32-17-56a60900-5ee4-4f6c-a4f3-f939ca3b18e8.jpg&w=1920&q=75","2","06/07/2024","Rp6,5 Miliar","Cicilan Mulai Rp.34,3 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-6mily-kemayoran-1007005246","Rumah Jl. Howitzer Raya Sumur Batu, Kemayoran, Jakarta Pusat","Kemayoran, Jakarta Pusat","5","3","300 m²","300 m²","https://www.99.co/id/agent/specialistkg99","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F85e2ec39-af11-442e-a7d2-742fbdf155c5%2F2023-11-22-03-40-30-49080394-06d2-4d76-b862-909da1046d0d.jpg&w=256&q=75","[object Object]","propertyspecialist.id","Agen","+62813...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F85e2ec39-af11-442e-a7d2-742fbdf155c5%2F2024-07-06-02-30-08-49832e44-4318-4476-921d-ef1c6f9f9800.jpg&w=1920&q=75","2","06/07/2024","Rp3,6 Miliar","Cicilan Mulai Rp.19 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-3mily-kelapa-gading-1007005211","Rumah Gading Cipta Residence Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara","4","2","117 m²","114 m²","https://www.99.co/id/agent/specialistkg99","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F85e2ec39-af11-442e-a7d2-742fbdf155c5%2F2023-11-22-03-40-30-49080394-06d2-4d76-b862-909da1046d0d.jpg&w=256&q=75","[object Object]","propertyspecialist.id","Agen","+62813...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-07-06-02-14-22-4e9abe19-68bf-4c17-944e-91dc4f6a6fbd.jpg&w=1920&q=75","2","06/07/2024","Rp1,75 Miliar","Cicilan Mulai Rp.9,23 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-1mily-penjaringan-1007005013","Rumah Cluster Florida PIK2, Tangerang, Banten","Penjaringan, Jakarta Utara","3","2","60 m²","73 m²","https://www.99.co/id/agent/specialistkg20","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-06-14-02-12-15-5775ce7e-043f-4c5c-a0d8-4e0bae711654.jpg&w=256&q=75","[object Object]","Witono LJHKGT","Agen","+62858...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-07-06-02-10-15-dd064771-75d6-49a7-bea5-e31b2edca5c2.jpg&w=1920&q=75","2","06/07/2024","Rp3 Miliar","Cicilan Mulai Rp.15,8 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-3mily-kelapa-gading-1007004956","Rumah Taman Pegangsaan Indah Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara","6","5","114 m²","279 m²","https://www.99.co/id/agent/specialistkg20","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-06-14-02-12-15-5775ce7e-043f-4c5c-a0d8-4e0bae711654.jpg&w=256&q=75","[object Object]","Witono LJHKGT","Agen","+62858...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-07-06-02-07-58-ab184973-e1c2-45b4-abf7-30b288dd75e9.jpg&w=1920&q=75","2","06/07/2024","Rp11 Miliar","Cicilan Mulai Rp.58 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-11mily-pulo-gadung-1007004940","Rumah Jl. Alu Alu Rawamangun, Pulo Gadung, Jakarta Timur","Pulo Gadung, Jakarta Timur","7","2","404 m²","500 m²","https://www.99.co/id/agent/specialistkg20","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-06-14-02-12-15-5775ce7e-043f-4c5c-a0d8-4e0bae711654.jpg&w=256&q=75","[object Object]","Witono LJHKGT","Agen","+62858...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-07-06-02-05-48-03b0123f-4836-4328-b777-1cdc8a343568.jpg&w=1920&q=75","2","06/07/2024","Rp2,7 Miliar","Cicilan Mulai Rp.14,2 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-2mily-duren-sawit-1007004911","Rumah Jl. Madrasah Duren Sawit, Jakarta Timur","Duren Sawit, Jakarta Timur","6","4","218 m²","300 m²","https://www.99.co/id/agent/specialistkg20","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F30833d69-857b-45c2-ae69-a806e94882a0%2F2024-06-14-02-12-15-5775ce7e-043f-4c5c-a0d8-4e0bae711654.jpg&w=256&q=75","[object Object]","Witono LJHKGT","Agen","+62858...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F12b99edf-a557-4082-805e-763d1f772edf%2F2024-07-06-01-54-55-2be3fc20-ef43-451a-98a5-de5ce0886dcf.jpg&w=1920&q=75","2","06/07/2024","Rp9,9 Miliar","Cicilan Mulai Rp.52,2 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-9mily-gambir-1007004804","Rumah Jl. Cimalaya Cideng, Gambir, Jakarta Pusat","Gambir, Jakarta Pusat","7","3","258 m²","300 m²","https://www.99.co/id/agent/kelapa%20gading","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F12b99edf-a557-4082-805e-763d1f772edf%2F2024-06-20-04-57-01-76aa79f7-acc0-4aaf-96d0-e6e2530dee8a.jpg&w=256&q=75","[object Object]","Witono LJHKGT","Agen","+62812...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F12b99edf-a557-4082-805e-763d1f772edf%2F2024-07-06-01-49-06-becb68c9-7d94-4c96-9bfb-d72d2f91c590.jpg&w=1920&q=75","2","06/07/2024","Rp17 Miliar","Cicilan Mulai Rp.89,7 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-17mily-mampang-prapatan-1007004744","Rumah Kemang Mampang Prapatan, Jakarta Selatan","Mampang Prapatan, Jakarta Selatan","4","3","587 m²","200 m²","https://www.99.co/id/agent/kelapa%20gading","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F12b99edf-a557-4082-805e-763d1f772edf%2F2024-06-20-04-57-01-76aa79f7-acc0-4aaf-96d0-e6e2530dee8a.jpg&w=256&q=75","[object Object]","Witono LJHKGT","Agen","+62812...","Whatsapp"
"https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F618%2F412%2Fcrop%2Ftrue%2Fproduction%2Fimage%2Fuser%2F12b99edf-a557-4082-805e-763d1f772edf%2F2024-07-06-01-47-01-311de458-2623-4980-a5c8-38e045d969b5.jpg&w=1920&q=75","2","06/07/2024","Rp3,1 Miliar","Cicilan Mulai Rp.16,3 Juta/bulan","https://www.99.co/id/properti/rumah-dijual-3mily-pesanggrahan-1007004724","Rumah Acacia Residence Pesanggrahan, Jakarta Selatan","Pesanggrahan, Jakarta Selatan","3","3","200 m²","120 m²","https://www.99.co/id/agent/kelapa%20gading","https://www.99.co/id/_next/image?url=https%3A%2F%2Fwww.99.co%2Fid%2Fimg-regional%2F80%2F80%2Fcrop%2Ffalse%2Fproduction%2Fimage%2Fuser%2F12b99edf-a557-4082-805e-763d1f772edf%2F2024-06-20-04-57-01-76aa79f7-acc0-4aaf-96d0-e6e2530dee8a.jpg&w=256&q=75","[object Object]","Witono LJHKGT","Agen","+62812...","Whatsapp"
